learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
7000.0,1.424017,1.526647605415847E-8,7000.0,97.1,90.28150134048258,89.13857677902621,84.32432432432432,7000.0,41816.0,10.0,29.0,16196.9,13580.22257590468,2144.7999999999997,1593.490982437965,16.2,12.899612397277679,8.6,6.449806198638839,8.6,6.449806198638839,4.3,2.7507574714370344,0.0,0.0,0.0,0.0,1.0,0.0
7100.0,1.438818,1.5430450404269825E-8,7100.0,96.89999999999999,87.0878525849286,84.65346534653465,78.0141843971631,7100.0,42824.0,10.0,29.0,16796.5,13582.730557177701,2219.2000000000003,1524.6674537237438,16.8,12.345039489608771,8.9,6.172519744804386,8.9,6.172519744804386,4.5,2.5055493963954847,0.0,0.0,0.0,0.0,1.0,0.0
7200.0,1.459833,1.5652263501865993E-8,7200.0,95.3,80.20652595050788,77.83018867924525,68.45637583892615,7200.0,40800.0,10.0,30.0,13967.3,13116.729868970984,1997.6000000000001,1576.6295414938513,15.0,12.754084313139327,8.0,6.377042156569663,8.0,6.377042156569663,4.1000000000000005,2.766867462592951,0.0,0.0,0.0,0.0,1.0,0.0
7300.0,1.473696,1.580159986598624E-8,7300.0,95.39999999999999,71.38484889956077,69.73684210526314,53.53535353535348,7300.0,41640.0,10.0,30.0,14568.4,13103.886609196015,2047.1999999999998,1584.4957697780214,15.399999999999999,12.816655830077778,8.2,6.408327915038889,8.2,6.408327915038889,4.199999999999999,2.7406406388125952,0.0,0.0,0.0,0.0,1.0,0.0
7400.0,1.485016,1.5924526250196827E-8,7400.0,97.1,73.70806890299183,71.56862745098036,56.71641791044769,7400.0,41976.0,10.0,30.0,15184.7,13099.480821348947,2096.8,1581.9895209654344,15.8,12.795832654944084,8.4,6.397916327472042,8.4,6.397916327472042,4.399999999999999,2.836272984824353,0.0,0.0,0.0,0.0,1.0,0.0
7500.0,1.495279,1.6037312580479514E-8,7500.0,97.2,63.602329450915164,63.157894736842046,41.66666666666667,7500.0,42480.0,10.0,30.0,15768.7,13098.34041268842,2120.7999999999997,1602.9415183066135,16.0,12.970050972229146,8.5,6.485025486114573,8.5,6.485025486114573,4.399999999999999,2.836272984824353,0.0,0.0,0.0,0.0,1.0,0.0
7600.0,1.506332,1.615926108219557E-8,7600.0,97.2,63.602329450915164,63.157894736842046,41.66666666666667,7600.0,42648.0,10.0,30.0,16358.0,13089.061837189776,2169.6,1656.546555001968,16.4,13.401492454200763,8.7,6.700746227100382,8.7,6.700746227100382,4.399999999999999,2.836272984824353,0.0,0.0,0.0,0.0,1.0,0.0
7700.0,1.515354,1.625919353423847E-8,7700.0,97.2,63.602329450915164,63.157894736842046,41.66666666666667,7700.0,42816.0,10.0,30.0,16956.3,13089.855572159686,2169.6,1656.546555001968,16.4,13.401492454200763,8.7,6.700746227100382,8.7,6.700746227100382,4.399999999999999,2.836272984824353,0.0,0.0,0.0,0.0,1.0,0.0
7800.0,1.528173,1.6400652964495947E-8,7800.0,97.2,69.9976426719242,69.89247311827953,50.877192982456144,7800.0,42656.0,10.0,30.0,17554.8,13107.346767705845,2244.0,1631.4650539383986,17.0,13.199326582148887,9.0,6.599663291074443,9.0,6.599663291074443,4.6,2.6331223544175333,0.0,0.0,0.0,0.0,1.0,0.0
7900.0,1.54364,1.6573350106676416E-8,7900.0,96.6,75.53816046966729,76.056338028169,60.46511627906972,7900.0,43160.0,10.0,30.0,18143.5,13100.235351999512,2367.2,1575.616196921065,18.0,12.727922061357855,9.5,6.363961030678928,9.5,6.363961030678928,4.8999999999999995,2.4244128727957572,0.0,0.0,0.0,0.0,1.0,0.0
